,CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL, 
11257,14DES0020G,VESPERTINO,FERNANDO MONTES DE OCA,HACIENDA LA COLMENA 1733,1,GUADALAJARA,9417,OBLATOS,39,GUADALAJARA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0672,0.2002,0.1282,0.6647,
11258,14DES0020G,MATUTINO,FERNANDO MONTES DE OCA,HACIENDA LA COLMENA 1733,1,GUADALAJARA,9417,OBLATOS,39,GUADALAJARA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0853,0.2715,0.2184,0.7064,
11259,14DES0021F,MATUTINO,PEDRO OGAZON,JUAN J SEGURA,1,TLAQUEPAQUE,9063,FOVISSSTE MIRAVALLE,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0505,0,0,0.8481,
11260,14DES0021F,VESPERTINO,PEDRO OGAZON,JUAN J SEGURA,1,TLAQUEPAQUE,9063,FOVISSSTE MIRAVALLE,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0847,0,0,0.728,
11261,14DES0022E,MATUTINO,GREGORIO TORRES QUINTERO,INDEPENDENCIA SUR 96,1,TLAJOMULCO DE ZU‹IGA,0,0,97,TLAJOMULCO DE ZU‹IGA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0511,0.0074,0.0074,1,
11262,14DES0022E,VESPERTINO,GREGORIO TORRES QUINTERO,INDEPENDENCIA SUR 96,1,TLAJOMULCO DE ZU‹IGA,0,0,97,TLAJOMULCO DE ZU‹IGA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0526,0.0432,0.0226,0.8667,
11263,14DES0023D,VESPERTINO,ESCUELA SECUNDARIA FEDERAL 66,PASEO DE LOS CAFETOS 2815,1,ZAPOPAN,6276,TABACHINES,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0674,0.0988,0.0386,0.7643,
11264,14DES0023D,MATUTINO,ESCUELA SECUNDARIA FEDERAL 66,PASEO DE LOS CAFETOS 2815,1,ZAPOPAN,6276,TABACHINES,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0484,0.127,0.127,0.8421,
11265,14DES0024C,MATUTINO,JUAN JOSE ARREOLA,AVIACION 6916,1,ZAPOPAN,6212,INDIGENA SAN JUAN DE OCOTAN,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0785,0.2555,0.1456,0.6338,
11266,14DES0024C,VESPERTINO,JUAN JOSE ARREOLA,AVIACION 6916,1,ZAPOPAN,6212,INDIGENA SAN JUAN DE OCOTAN,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.1157,0.1713,0.1246,0.4963,
11267,14DES0025B,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,NI‹OS HEROES,1,TEOCALTICHE,0,0,91,TEOCALTICHE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0392,0.0187,0.017,0.8991,
11268,14DES0025B,VESPERTINO,JOSEFA ORTIZ DE DOMINGUEZ,NI‹OS HEROES,1,TEOCALTICHE,0,0,91,TEOCALTICHE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0526,0.0229,0.0229,0.7297,
11269,14DES0026A,MATUTINO,J JESUS REYES HEROLES,PROLONGACION MORELOS 50,95,MORELOS (SANTA ROSA),0,0,85,TAMAZULA DE GORDIANO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0313,0,0,0.8929,
11270,14DES0027Z,MATUTINO,CONSTITUYENTES DE 1917,RIO ZULA,1,TIZAPAN EL ALTO,0,0,96,TIZAPAN EL ALTO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0627,0.0424,0.0179,0.8402,
11271,14DES0027Z,VESPERTINO,CONSTITUYENTES DE 1917,RIO ZULA,1,TIZAPAN EL ALTO,0,0,96,TIZAPAN EL ALTO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0547,0.0463,0.0347,0.6757,
